combo_id,position,style,emphasis_set,n_emphasis
CB_NOSTYLE_NONE,CB,NoStyle,[],0
CB_CONTROL_NONE,CB,Control,[],0
CB_PROGRESSION_NONE,CB,Progression,[],0
CB_DIRECT_NONE,CB,Direct,[],0
CB_NOSTYLE_AERIAL,CB,NoStyle,['Aerial'],1
CB_CONTROL_AERIAL,CB,Control,['Aerial'],1
CB_PROGRESSION_AERIAL,CB,Progression,['Aerial'],1
CB_DIRECT_AERIAL,CB,Direct,['Aerial'],1
CB_NOSTYLE_GROUND_DEFENSIVE,CB,NoStyle,['Ground-Defensive'],1
CB_CONTROL_GROUND_DEFENSIVE,CB,Control,['Ground-Defensive'],1
CB_PROGRESSION_GROUND_DEFENSIVE,CB,Progression,['Ground-Defensive'],1
CB_DIRECT_GROUND_DEFENSIVE,CB,Direct,['Ground-Defensive'],1
CB_NOSTYLE_BALL_PLAYING,CB,NoStyle,['Ball-Playing'],1
CB_CONTROL_BALL_PLAYING,CB,Control,['Ball-Playing'],1
CB_PROGRESSION_BALL_PLAYING,CB,Progression,['Ball-Playing'],1
CB_DIRECT_BALL_PLAYING,CB,Direct,['Ball-Playing'],1
CB_NOSTYLE_AERIAL_GROUND_DEFENSIVE,CB,NoStyle,"['Aerial', 'Ground-Defensive']",2
CB_CONTROL_AERIAL_GROUND_DEFENSIVE,CB,Control,"['Aerial', 'Ground-Defensive']",2
CB_PROGRESSION_AERIAL_GROUND_DEFENSIVE,CB,Progression,"['Aerial', 'Ground-Defensive']",2
CB_DIRECT_AERIAL_GROUND_DEFENSIVE,CB,Direct,"['Aerial', 'Ground-Defensive']",2
CB_NOSTYLE_AERIAL_BALL_PLAYING,CB,NoStyle,"['Aerial', 'Ball-Playing']",2
CB_CONTROL_AERIAL_BALL_PLAYING,CB,Control,"['Aerial', 'Ball-Playing']",2
CB_PROGRESSION_AERIAL_BALL_PLAYING,CB,Progression,"['Aerial', 'Ball-Playing']",2
CB_DIRECT_AERIAL_BALL_PLAYING,CB,Direct,"['Aerial', 'Ball-Playing']",2
CB_NOSTYLE_GROUND_DEFENSIVE_BALL_PLAYING,CB,NoStyle,"['Ground-Defensive', 'Ball-Playing']",2
CB_CONTROL_GROUND_DEFENSIVE_BALL_PLAYING,CB,Control,"['Ground-Defensive', 'Ball-Playing']",2
CB_PROGRESSION_GROUND_DEFENSIVE_BALL_PLAYING,CB,Progression,"['Ground-Defensive', 'Ball-Playing']",2
CB_DIRECT_GROUND_DEFENSIVE_BALL_PLAYING,CB,Direct,"['Ground-Defensive', 'Ball-Playing']",2
CB_NOSTYLE_AERIAL_GROUND_DEFENSIVE_BALL_PLAYING,CB,NoStyle,"['Aerial', 'Ground-Defensive', 'Ball-Playing']",3
CB_CONTROL_AERIAL_GROUND_DEFENSIVE_BALL_PLAYING,CB,Control,"['Aerial', 'Ground-Defensive', 'Ball-Playing']",3
CB_PROGRESSION_AERIAL_GROUND_DEFENSIVE_BALL_PLAYING,CB,Progression,"['Aerial', 'Ground-Defensive', 'Ball-Playing']",3
CB_DIRECT_AERIAL_GROUND_DEFENSIVE_BALL_PLAYING,CB,Direct,"['Aerial', 'Ground-Defensive', 'Ball-Playing']",3
FB_NOSTYLE_NONE,FB,NoStyle,[],0
FB_CONTROL_NONE,FB,Control,[],0
FB_PROGRESSION_NONE,FB,Progression,[],0
FB_DIRECT_NONE,FB,Direct,[],0
FB_NOSTYLE_ATTACKING,FB,NoStyle,['Attacking'],1
FB_CONTROL_ATTACKING,FB,Control,['Attacking'],1
FB_PROGRESSION_ATTACKING,FB,Progression,['Attacking'],1
FB_DIRECT_ATTACKING,FB,Direct,['Attacking'],1
FB_NOSTYLE_DEFENSIVE,FB,NoStyle,['Defensive'],1
FB_CONTROL_DEFENSIVE,FB,Control,['Defensive'],1
FB_PROGRESSION_DEFENSIVE,FB,Progression,['Defensive'],1
FB_DIRECT_DEFENSIVE,FB,Direct,['Defensive'],1
FB_NOSTYLE_ATTACKING_DEFENSIVE,FB,NoStyle,"['Attacking', 'Defensive']",2
FB_CONTROL_ATTACKING_DEFENSIVE,FB,Control,"['Attacking', 'Defensive']",2
FB_PROGRESSION_ATTACKING_DEFENSIVE,FB,Progression,"['Attacking', 'Defensive']",2
FB_DIRECT_ATTACKING_DEFENSIVE,FB,Direct,"['Attacking', 'Defensive']",2
WM_NOSTYLE_NONE,WM,NoStyle,[],0
WM_CONTROL_NONE,WM,Control,[],0
WM_PROGRESSION_NONE,WM,Progression,[],0
WM_DIRECT_NONE,WM,Direct,[],0
WM_NOSTYLE_CREATOR,WM,NoStyle,['Creator'],1
WM_CONTROL_CREATOR,WM,Control,['Creator'],1
WM_PROGRESSION_CREATOR,WM,Progression,['Creator'],1
WM_DIRECT_CREATOR,WM,Direct,['Creator'],1
WM_NOSTYLE_BALL_CARRIER,WM,NoStyle,['Ball Carrier'],1
WM_CONTROL_BALL_CARRIER,WM,Control,['Ball Carrier'],1
WM_PROGRESSION_BALL_CARRIER,WM,Progression,['Ball Carrier'],1
WM_DIRECT_BALL_CARRIER,WM,Direct,['Ball Carrier'],1
WM_NOSTYLE_DEFENSIVE,WM,NoStyle,['Defensive'],1
WM_CONTROL_DEFENSIVE,WM,Control,['Defensive'],1
WM_PROGRESSION_DEFENSIVE,WM,Progression,['Defensive'],1
WM_DIRECT_DEFENSIVE,WM,Direct,['Defensive'],1
WM_NOSTYLE_CREATOR_BALL_CARRIER,WM,NoStyle,"['Creator', 'Ball Carrier']",2
WM_CONTROL_CREATOR_BALL_CARRIER,WM,Control,"['Creator', 'Ball Carrier']",2
WM_PROGRESSION_CREATOR_BALL_CARRIER,WM,Progression,"['Creator', 'Ball Carrier']",2
WM_DIRECT_CREATOR_BALL_CARRIER,WM,Direct,"['Creator', 'Ball Carrier']",2
WM_NOSTYLE_CREATOR_DEFENSIVE,WM,NoStyle,"['Creator', 'Defensive']",2
WM_CONTROL_CREATOR_DEFENSIVE,WM,Control,"['Creator', 'Defensive']",2
WM_PROGRESSION_CREATOR_DEFENSIVE,WM,Progression,"['Creator', 'Defensive']",2
WM_DIRECT_CREATOR_DEFENSIVE,WM,Direct,"['Creator', 'Defensive']",2
WM_NOSTYLE_BALL_CARRIER_DEFENSIVE,WM,NoStyle,"['Ball Carrier', 'Defensive']",2
WM_CONTROL_BALL_CARRIER_DEFENSIVE,WM,Control,"['Ball Carrier', 'Defensive']",2
WM_PROGRESSION_BALL_CARRIER_DEFENSIVE,WM,Progression,"['Ball Carrier', 'Defensive']",2
WM_DIRECT_BALL_CARRIER_DEFENSIVE,WM,Direct,"['Ball Carrier', 'Defensive']",2
WM_NOSTYLE_CREATOR_BALL_CARRIER_DEFENSIVE,WM,NoStyle,"['Creator', 'Ball Carrier', 'Defensive']",3
WM_CONTROL_CREATOR_BALL_CARRIER_DEFENSIVE,WM,Control,"['Creator', 'Ball Carrier', 'Defensive']",3
WM_PROGRESSION_CREATOR_BALL_CARRIER_DEFENSIVE,WM,Progression,"['Creator', 'Ball Carrier', 'Defensive']",3
WM_DIRECT_CREATOR_BALL_CARRIER_DEFENSIVE,WM,Direct,"['Creator', 'Ball Carrier', 'Defensive']",3
Winger_NOSTYLE_NONE,Winger,NoStyle,[],0
Winger_CONTROL_NONE,Winger,Control,[],0
Winger_PROGRESSION_NONE,Winger,Progression,[],0
Winger_DIRECT_NONE,Winger,Direct,[],0
Winger_NOSTYLE_CREATOR_PROVIDER,Winger,NoStyle,['Creator/Provider'],1
Winger_CONTROL_CREATOR_PROVIDER,Winger,Control,['Creator/Provider'],1
Winger_PROGRESSION_CREATOR_PROVIDER,Winger,Progression,['Creator/Provider'],1
Winger_DIRECT_CREATOR_PROVIDER,Winger,Direct,['Creator/Provider'],1
Winger_NOSTYLE_GOAL_THREAT,Winger,NoStyle,['Goal Threat'],1
Winger_CONTROL_GOAL_THREAT,Winger,Control,['Goal Threat'],1
Winger_PROGRESSION_GOAL_THREAT,Winger,Progression,['Goal Threat'],1
Winger_DIRECT_GOAL_THREAT,Winger,Direct,['Goal Threat'],1
Winger_NOSTYLE_BALL_CARRIER,Winger,NoStyle,['Ball Carrier'],1
Winger_CONTROL_BALL_CARRIER,Winger,Control,['Ball Carrier'],1
Winger_PROGRESSION_BALL_CARRIER,Winger,Progression,['Ball Carrier'],1
Winger_DIRECT_BALL_CARRIER,Winger,Direct,['Ball Carrier'],1
Winger_NOSTYLE_CREATOR_PROVIDER_GOAL_THREAT,Winger,NoStyle,"['Creator/Provider', 'Goal Threat']",2
Winger_CONTROL_CREATOR_PROVIDER_GOAL_THREAT,Winger,Control,"['Creator/Provider', 'Goal Threat']",2
Winger_PROGRESSION_CREATOR_PROVIDER_GOAL_THREAT,Winger,Progression,"['Creator/Provider', 'Goal Threat']",2
Winger_DIRECT_CREATOR_PROVIDER_GOAL_THREAT,Winger,Direct,"['Creator/Provider', 'Goal Threat']",2
Winger_NOSTYLE_CREATOR_PROVIDER_BALL_CARRIER,Winger,NoStyle,"['Creator/Provider', 'Ball Carrier']",2
Winger_CONTROL_CREATOR_PROVIDER_BALL_CARRIER,Winger,Control,"['Creator/Provider', 'Ball Carrier']",2
Winger_PROGRESSION_CREATOR_PROVIDER_BALL_CARRIER,Winger,Progression,"['Creator/Provider', 'Ball Carrier']",2
Winger_DIRECT_CREATOR_PROVIDER_BALL_CARRIER,Winger,Direct,"['Creator/Provider', 'Ball Carrier']",2
Winger_NOSTYLE_GOAL_THREAT_BALL_CARRIER,Winger,NoStyle,"['Goal Threat', 'Ball Carrier']",2
Winger_CONTROL_GOAL_THREAT_BALL_CARRIER,Winger,Control,"['Goal Threat', 'Ball Carrier']",2
Winger_PROGRESSION_GOAL_THREAT_BALL_CARRIER,Winger,Progression,"['Goal Threat', 'Ball Carrier']",2
Winger_DIRECT_GOAL_THREAT_BALL_CARRIER,Winger,Direct,"['Goal Threat', 'Ball Carrier']",2
