position,philosophy,rank,ability,weight_pct
Attacking Midfield,Control,1,Chance Creation,38.6
Attacking Midfield,Control,2,Progressive Passing,15.7
Attacking Midfield,Control,3,Ball Retention & Security,14.7
Attacking Midfield,Control,4,Ball Carrying / Dribbling,12.1
Attacking Midfield,Control,5,Finishing / Shot Threat,7.3
Attacking Midfield,Control,6,Long Distribution,4.8
Attacking Midfield,Control,7,Crossing / Wide Delivery,3.6
Attacking Midfield,Control,8,Build-Up Involvement,3.2
Attacking Midfield,Direct,1,Chance Creation,24.4
Attacking Midfield,Direct,2,Ball Carrying / Dribbling,22.2
Attacking Midfield,Direct,3,Finishing / Shot Threat,13.3
Attacking Midfield,Direct,4,Ball Retention & Security,13.3
Attacking Midfield,Direct,5,Progressive Passing,11.1
Attacking Midfield,Direct,6,Crossing / Wide Delivery,8.9
Attacking Midfield,Direct,7,Build-Up Involvement,4.4
Attacking Midfield,Direct,8,Long Distribution,2.2
Attacking Midfield,Progression,1,Progressive Passing,31.5
Attacking Midfield,Progression,2,Chance Creation,24.8
Attacking Midfield,Progression,3,Ball Carrying / Dribbling,13.5
Attacking Midfield,Progression,4,Ball Retention & Security,12.6
Attacking Midfield,Progression,5,Finishing / Shot Threat,7.9
Attacking Midfield,Progression,6,Build-Up Involvement,5.2
Attacking Midfield,Progression,7,Long Distribution,3.3
Attacking Midfield,Progression,8,Crossing / Wide Delivery,1.1
Central Midfield,Control,1,Progressive Passing,22.0
Central Midfield,Control,2,Chance Creation,19.7
Central Midfield,Control,3,Ball Retention & Security,18.5
Central Midfield,Control,4,Ball Carrying / Dribbling,16.5
Central Midfield,Control,5,Build-Up Involvement,8.1
Central Midfield,Control,6,Long Distribution,7.6
Central Midfield,Control,7,Crossing / Wide Delivery,4.3
Central Midfield,Control,8,Finishing / Shot Threat,3.2
Central Midfield,Direct,1,Ball Carrying / Dribbling,26.1
Central Midfield,Direct,2,Chance Creation,21.7
Central Midfield,Direct,3,Progressive Passing,19.6
