kind,role,position,key,signal_name,safe_name
position_quality,core,CB,,Tackles per90,Tackles_per90
position_quality,core,CB,,Tackles Won %,Tackles_Won_pct
position_quality,core,CB,,Tackle Share,Tackle_Share
position_quality,core,CB,,Interceptions per90,Interceptions_per90
position_quality,core,CB,,Interception Share,Interception_Share
position_quality,core,CB,,Ball Recoveries per90,Ball_Recoveries_per90
position_quality,core,CB,,Ball Recovery Share,Ball_Recovery_Share
position_quality,core,CB,,Dribble Attempts per90,Dribble_Attempts_per90
position_quality,core,CB,,Dribble Rate,Dribble_Rate
position_quality,core,CB,,Dribble Success %,Dribble_Success_pct
position_quality,core,CB,,Dribble Attempt Share,Dribble_Attempt_Share
position_quality,core,CB,,Aerial Duel Attempts per90,Aerial_Duel_Attempts_per90
position_quality,core,CB,,Aerial Duel Success %,Aerial_Duel_Success_pct
position_quality,core,CB,,Aerial Duel Share,Aerial_Duel_Share
position_quality,core,CB,,Ground Duel Attempts per90,Ground_Duel_Attempts_per90
position_quality,core,CB,,Ground Duel Success % (reconstructed),Ground_Duel_Success_pct_(reconstructed)
position_quality,core,CB,,Ground Duel Attempt Share,Ground_Duel_Attempt_Share
style,core,CB,Control,Backward Pass Rate,Backward_Pass_Rate
style,core,CB,Control,Backward Pass Share,Backward_Pass_Share
style,core,CB,Control,Pass Share,Pass_Share
style,supporting,CB,Control,Accurate Passes %,Accurate_Passes_pct
style,supporting,CB,Control,Passes per90,Passes_per90
style,supporting,CB,Control,Backward Passes per90,Backward_Passes_per90
style,core,CB,Progression,Final Third Pass Rate,Final_Third_Pass_Rate
style,core,CB,Progression,Final Third Pass Share,Final_Third_Pass_Share
style,core,CB,Progression,Progressive Passing Preference,Progressive_Passing_Preference
style,supporting,CB,Progression,Passes in Final Third per90,Passes_in_Final_Third_per90
style,core,CB,Direct,Long Ball Rate,Long_Ball_Rate
style,core,CB,Direct,Long Ball Share,Long_Ball_Share
style,core,CB,Direct,Directness Proxy,Directness_Proxy
style,supporting,CB,Direct,Long Balls per90,Long_Balls_per90
style,supporting,CB,Direct,Aerial Duel Success %,Aerial_Duel_Success_pct
position_quality,core,FB,,Tackles per90,Tackles_per90
position_quality,core,FB,,Tackle Share,Tackle_Share
position_quality,core,FB,,Interceptions per90,Interceptions_per90
position_quality,core,FB,,Interception Share,Interception_Share
position_quality,core,FB,,Ball Recoveries per90,Ball_Recoveries_per90
position_quality,core,FB,,Ball Recovery Share,Ball_Recovery_Share
position_quality,core,FB,,Dribble Attempts per90,Dribble_Attempts_per90
position_quality,core,FB,,Dribble Rate,Dribble_Rate
position_quality,core,FB,,Dribble Success %,Dribble_Success_pct
position_quality,core,FB,,Dribble Attempt Share,Dribble_Attempt_Share
position_quality,core,FB,,Aerial Duel Attempts per90,Aerial_Duel_Attempts_per90
position_quality,core,FB,,Aerial Duel Success %,Aerial_Duel_Success_pct
position_quality,core,FB,,Ground Duel Attempts per90,Ground_Duel_Attempts_per90
position_quality,core,FB,,Ground Duel Success % (reconstructed),Ground_Duel_Success_pct_(reconstructed)
position_quality,core,FB,,Total Crosses per90,Total_Crosses_per90
position_quality,core,FB,,Cross Rate,Cross_Rate
position_quality,core,FB,,Cross Accuracy %,Cross_Accuracy_pct
position_quality,core,FB,,Cross Share,Cross_Share
position_quality,core,FB,,Key Passes per90,Key_Passes_per90
style,core,FB,Control,Backward Pass Rate,Backward_Pass_Rate
style,core,FB,Control,Backward Pass Share,Backward_Pass_Share
style,core,FB,Control,Pass Share,Pass_Share
style,supporting,FB,Control,Accurate Passes %,Accurate_Passes_pct
style,supporting,FB,Control,Passes per90,Passes_per90
style,supporting,FB,Control,Backward Passes per90,Backward_Passes_per90
style,core,FB,Progression,Final Third Pass Rate,Final_Third_Pass_Rate
style,core,FB,Progression,Final Third Pass Share,Final_Third_Pass_Share
style,core,FB,Progression,Progressive Passing Preference,Progressive_Passing_Preference
style,supporting,FB,Progression,Passes in Final Third per90,Passes_in_Final_Third_per90
style,core,FB,Direct,Long Ball Rate,Long_Ball_Rate
style,core,FB,Direct,Long Ball Share,Long_Ball_Share
style,core,FB,Direct,Directness Proxy,Directness_Proxy
style,supporting,FB,Direct,Long Balls per90,Long_Balls_per90
style,supporting,FB,Direct,Aerial Duel Success %,Aerial_Duel_Success_pct
position_quality,core,WM,,Tackles per90,Tackles_per90
position_quality,core,WM,,Tackle Share,Tackle_Share
position_quality,core,WM,,Interceptions per90,Interceptions_per90
position_quality,core,WM,,Ball Recoveries per90,Ball_Recoveries_per90
position_quality,core,WM,,Dribble Attempts per90,Dribble_Attempts_per90
position_quality,core,WM,,Dribble Rate,Dribble_Rate
position_quality,core,WM,,Dribble Success %,Dribble_Success_pct
position_quality,core,WM,,Dribble Attempt Share,Dribble_Attempt_Share
position_quality,core,WM,,Aerial Duel Attempts per90,Aerial_Duel_Attempts_per90
position_quality,core,WM,,Aerial Duel Success %,Aerial_Duel_Success_pct
position_quality,core,WM,,Aerial Duel Share,Aerial_Duel_Share
position_quality,core,WM,,Ground Duel Attempts per90,Ground_Duel_Attempts_per90
position_quality,core,WM,,Ground Duel Success % (reconstructed),Ground_Duel_Success_pct_(reconstructed)
position_quality,core,WM,,Ground Duel Attempt Share,Ground_Duel_Attempt_Share
position_quality,core,WM,,Shots Total per90,Shots_Total_per90
position_quality,core,WM,,Shot Rate,Shot_Rate
position_quality,core,WM,,Shooting Orientation,Shooting_Orientation
position_quality,core,WM,,Shot Accuracy %,Shot_Accuracy_pct
position_quality,core,WM,,Goal Conversion %,Goal_Conversion_pct
position_quality,core,WM,,xG per Shot,xG_per_Shot
position_quality,core,WM,,xGOT per Shot on Target,xGOT_per_Shot_on_Target
position_quality,core,WM,,Shot Share,Shot_Share
position_quality,core,WM,,Goal Share Rel. Shot Share,Goal_Share_Rel_Shot_Share
position_quality,core,WM,,Total Crosses per90,Total_Crosses_per90
position_quality,core,WM,,Cross Rate,Cross_Rate
position_quality,core,WM,,Cross Accuracy %,Cross_Accuracy_pct
position_quality,core,WM,,Cross Share,Cross_Share
position_quality,core,WM,,Key Passes per90,Key_Passes_per90
position_quality,core,WM,,Key Pass Share,Key_Pass_Share
