player_id,season_name,tackles_n,dribble_attempts_n,shots_total_n,total_crosses_n
272,2025/2026,19.0,2.0,13.0,3.0
339,2025/2026,3.0,15.0,18.0,10.0
340,2025/2026,10.0,2.0,7.0,50.0
750,2025/2026,14.0,43.0,44.0,22.0
758,2025/2026,58.0,42.0,47.0,240.0
795,2025/2026,13.0,34.0,33.0,14.0
807,2025/2026,21.0,3.0,15.0,
814,2025,47.0,40.0,55.0,56.0
822,2025/2026,31.0,11.0,11.0,44.0
866,2025/2026,40.0,18.0,40.0,14.0
888,2025/2026,46.0,32.0,11.0,116.0
902,2025/2026,47.0,18.0,48.0,100.0
954,2025/2026,8.0,14.0,39.0,1.0
975,2025/2026,23.0,18.0,43.0,9.0
1012,2025/2026,19.0,19.0,2.0,3.0
1019,2025/2026,14.0,11.0,4.0,14.0
1022,2025/2026,11.0,7.0,9.0,2.0
1028,2025/2026,19.0,1.0,19.0,6.0
1038,2025/2026,26.0,50.0,47.0,53.0
1045,2025/2026,13.0,12.0,36.0,34.0
1056,2025,11.0,1.0,12.0,1.0
1109,2025/2026,11.0,110.0,85.0,14.0
1114,2025,11.0,46.0,45.0,91.0
1139,2025/2026,11.0,12.0,38.0,4.0
1148,2025/2026,11.0,12.0,36.0,5.0
1166,2025/2026,12.0,3.0,9.0,2.0
1168,2025/2026,9.0,2.0,8.0,2.0
1175,2025/2026,13.0,22.0,59.0,4.0
1177,2025/2026,23.0,5.0,15.0,11.0
1193,2025/2026,37.0,14.0,8.0,7.0
1201,2025,22.0,14.0,9.0,24.0
1233,2025/2026,27.0,26.0,15.0,156.0
1238,2025/2026,33.0,21.0,7.0,61.0
1246,2025/2026,46.0,19.0,30.0,76.0
1254,2025/2026,53.0,13.0,9.0,19.0
1261,2025/2026,25.0,12.0,13.0,104.0
1269,2025,17.0,53.0,111.0,28.0
1291,2025/2026,10.0,3.0,6.0,11.0
1367,2025/2026,15.0,5.0,6.0,3.0
1376,2025/2026,28.0,27.0,10.0,72.0
1384,2025/2026,9.0,16.0,47.0,20.0
1387,2025/2026,58.0,11.0,46.0,178.0
1393,2025/2026,31.0,7.0,13.0,9.0
1460,2025/2026,9.0,1.0,6.0,8.0
1474,2025/2026,32.0,6.0,9.0,3.0
1517,2025/2026,61.0,22.0,26.0,8.0
1572,2025/2026,38.0,71.0,67.0,109.0
1596,2025/2026,52.0,38.0,32.0,240.0
1605,2025/2026,51.0,35.0,46.0,42.0
1625,2025/2026,5.0,2.0,6.0,3.0
1628,2025/2026,21.0,7.0,14.0,84.0
1636,2025/2026,42.0,10.0,35.0,14.0
1640,2025/2026,76.0,38.0,17.0,83.0
1646,2025/2026,31.0,5.0,16.0,2.0
1649,2025/2026,23.0,10.0,9.0,2.0
1673,2025/2026,5.0,8.0,2.0,6.0
1685,2025/2026,12.0,2.0,5.0,3.0
1690,2025/2026,30.0,45.0,91.0,24.0
1711,2025/2026,46.0,35.0,35.0,49.0
1714,2025/2026,13.0,41.0,59.0,242.0
1716,2025/2026,36.0,12.0,10.0,14.0
1778,2025/2026,37.0,57.0,23.0,162.0
1822,2025/2026,45.0,12.0,24.0,6.0
2191,2025/2026,30.0,75.0,103.0,26.0
2234,2025/2026,50.0,6.0,33.0,12.0
2237,2025/2026,55.0,17.0,11.0,65.0
2306,2025/2026,20.0,29.0,22.0,81.0
2321,2025/2026,107.0,15.0,50.0,273.0
2326,2025/2026,16.0,5.0,3.0,26.0
2349,2025/2026,29.0,4.0,10.0,3.0
2452,2025/2026,20.0,17.0,12.0,96.0
2481,2025,10.0,,6.0,4.0
2562,2025,41.0,12.0,37.0,22.0
2663,2025/2026,53.0,37.0,28.0,134.0
2770,2025/2026,16.0,7.0,29.0,13.0
2872,2025/2026,10.0,47.0,36.0,133.0
2873,2025/2026,79.0,14.0,27.0,11.0
2875,2025,58.0,17.0,9.0,29.0
2876,2025,16.0,13.0,42.0,140.0
2905,2025/2026,56.0,9.0,15.0,66.0
2918,2025/2026,19.0,10.0,14.0,1.0
2945,2025/2026,30.0,8.0,10.0,20.0
2946,2025/2026,35.0,27.0,14.0,12.0
2949,2025/2026,60.0,23.0,19.0,42.0
2951,2025/2026,21.0,30.0,87.0,10.0
2954,2025/2026,37.0,10.0,14.0,15.0
2992,2025/2026,26.0,18.0,29.0,72.0
2996,2025/2026,65.0,50.0,9.0,31.0
2999,2025/2026,16.0,36.0,72.0,38.0
3005,2025/2026,60.0,21.0,21.0,47.0
3043,2025/2026,8.0,1.0,5.0,1.0
3058,2025/2026,78.0,46.0,30.0,15.0
3063,2025/2026,24.0,42.0,58.0,20.0
3066,2025/2026,32.0,8.0,12.0,6.0
3073,2025/2026,49.0,28.0,4.0,63.0
3087,2025,10.0,10.0,16.0,102.0
3096,2025/2026,44.0,11.0,16.0,7.0
3139,2025/2026,5.0,14.0,32.0,5.0
3140,2025/2026,20.0,25.0,32.0,27.0
3142,2025/2026,24.0,9.0,26.0,47.0
3147,2025/2026,24.0,4.0,7.0,14.0
3157,2025/2026,15.0,3.0,8.0,3.0
3158,2025/2026,90.0,47.0,39.0,77.0
3175,2025/2026,79.0,42.0,42.0,243.0
3179,2025/2026,36.0,3.0,12.0,
3189,2025/2026,23.0,5.0,11.0,1.0
3229,2025/2026,62.0,22.0,29.0,136.0
3230,2025/2026,77.0,33.0,23.0,177.0
3248,2025/2026,48.0,20.0,7.0,22.0
3262,2025/2026,51.0,14.0,13.0,11.0
3267,2025/2026,28.0,44.0,44.0,14.0
3281,2025/2026,20.0,34.0,57.0,4.0
3285,2025/2026,43.0,16.0,35.0,114.0
3300,2025/2026,21.0,10.0,4.0,16.0
3305,2025/2026,59.0,4.0,23.0,5.0
3320,2025/2026,52.0,17.0,7.0,174.0
3339,2025/2026,49.0,17.0,38.0,14.0
3344,2025/2026,12.0,1.0,3.0,
3385,2025/2026,24.0,4.0,14.0,4.0
3398,2025/2026,2.0,6.0,25.0,7.0
3449,2025/2026,44.0,49.0,40.0,33.0
3455,2025/2026,6.0,11.0,6.0,34.0
3459,2025/2026,42.0,10.0,14.0,11.0
3474,2025/2026,57.0,16.0,23.0,41.0
3495,2025/2026,6.0,8.0,34.0,3.0
3530,2025/2026,8.0,17.0,47.0,8.0
3556,2025/2026,9.0,42.0,15.0,33.0
3587,2025/2026,40.0,14.0,23.0,104.0
3638,2025/2026,38.0,47.0,15.0,68.0
3684,2025/2026,32.0,41.0,32.0,98.0
3752,2025/2026,32.0,9.0,10.0,1.0
3762,2025,28.0,3.0,12.0,14.0
3923,2025,12.0,14.0,19.0,8.0
4037,2025/2026,44.0,5.0,8.0,4.0
4095,2025/2026,38.0,21.0,40.0,292.0
4107,2025/2026,8.0,19.0,26.0,18.0
4165,2025/2026,26.0,68.0,30.0,151.0
4178,2025/2026,11.0,33.0,25.0,9.0
4207,2025/2026,37.0,8.0,23.0,86.0
4219,2025/2026,12.0,15.0,16.0,19.0
4230,2025/2026,15.0,22.0,45.0,76.0
4267,2025/2026,29.0,17.0,14.0,47.0
4277,2025/2026,40.0,94.0,47.0,59.0
4281,2025/2026,76.0,20.0,49.0,45.0
4289,2025/2026,24.0,11.0,10.0,60.0
4292,2025/2026,39.0,8.0,18.0,27.0
4339,2025/2026,28.0,19.0,7.0,18.0
4343,2025/2026,29.0,57.0,2.0,56.0
4365,2025/2026,26.0,130.0,88.0,72.0
4381,2025/2026,14.0,3.0,12.0,2.0
4385,2025/2026,30.0,6.0,5.0,4.0
4405,2025/2026,58.0,21.0,67.0,118.0
4417,2025/2026,20.0,37.0,61.0,24.0
4425,2025/2026,6.0,21.0,31.0,9.0
4441,2025/2026,82.0,21.0,32.0,285.0
4443,2025,10.0,24.0,37.0,6.0
4445,2025/2026,31.0,8.0,8.0,6.0
4479,2025/2026,20.0,17.0,36.0,29.0
